key linkValue linkUp
88 542 0
907 533 0
1056 523 21
1177 513 40
1210 503 30
1298 493 52
1331 483 64
1452 473 88
1573 463 100
1694 453 112
2024 443 76
2145 433 138
2266 423 150
2387 413 163
2420 403 125
2541 393 189
2662 383 202
2783 373 215
3113 363 176
3234 352 241
3355 341 254
3476 330 267
3597 319 280
3630 308 228
3751 297 306
3872 286 319
3993 275 332
4048 264 345
4169 253 358
4202 242 293
4323 231 384
4444 220 397
4565 209 410
4686 198 423
4840 187 371
4961 176 449
5016 165 462
5137 154 475
5258 143 488
5379 132 501
5412 121 436
5533 110 527
5654 99 540
5775 88 553
5896 77 565
6105 66 514
6226 55 589
6347 44 601
6468 33 613
6501 22 577
6589 11 625
6622 0 637
89 1111 0
908 1102 0
1057 1092 672
1178 1082 693
1211 1072 682
1299 1062 707
1332 1052 721
1453 1042 749
1574 1032 763
1695 1022 777
1970 1012 735
2025 1002 805
2146 992 819
2267 982 833
2300 972 791
2388 962 846
2421 952 859
2542 942 885
2663 932 898
2784 922 911
3114 912 872
3235 901 937
3356 890 950
3477 879 963
3510 868 924
3598 857 976
3631 846 989
3752 835 1015
3873 824 1028
3994 813 1042
4049 802 1056
4203 791 1002
4324 780 1084
4445 769 1098
4566 758 1112
4687 747 1126
4720 736 1070
4841 725 1154
4962 714 1168
5017 703 1182
5138 692 1196
5259 681 1210
5413 670 1140
5534 659 1238
5655 648 1252
5776 637 1266
5897 626 1280
5930 615 1224
6106 604 1308
6227 593 1322
6348 582 1336
6469 571 1350
6502 560 1294
6623 549 1378
909 1660 0
1058 1650 0
1179 1640 1417
1212 1630 1406
1333 1620 1444
1454 1610 1459
1575 1600 1474
1696 1590 1489
1850 1580 1429
1971 1570 1519
2026 1560 1534
2147 1550 1549
2268 1540 1564
2301 1530 1504
2389 1520 1579
2422 1510 1594
2543 1500 1624
2664 1490 1639
2785 1480 1654
3115 1470 1609
3236 1459 1684
3357 1448 1699
3478 1437 1714
3511 1426 1669
3599 1415 1729
3632 1404 1744
3753 1393 1774
3874 1382 1789
3995 1371 1804
4204 1360 1759
4325 1349 1834
4446 1338 1849
4567 1327 1864
4600 1316 1819
4688 1305 1879
4721 1294 1894
4842 1283 1924
4963 1272 1939
5018 1261 1954
5139 1250 1969
5414 1239 1909
5535 1228 1999
5656 1217 2014
5777 1206 2029
5810 1195 1984
5898 1184 2044
5931 1173 2059
6107 1162 2089
6228 1151 2104
6349 1140 2119
6503 1129 2074
6624 1118 2149
1059 2168 0
1213 2158 0
1334 2148 2191
1455 2138 2203
1576 2128 2218
1697 2118 2233
1730 2108 2179
1851 2098 2263
1972 2088 2278
2027 2078 2293
2148 2068 2308
2269 2058 2323
2302 2048 2248
2423 2038 2353
2544 2028 2368
2665 2018 2383
2786 2008 2398
2940 1998 2338
3116 1988 2428
3237 1977 2443
3358 1966 2458
3479 1955 2473
3512 1944 2413
3633 1933 2503
3754 1922 2518
3875 1911 2533
3996 1900 2548
4205 1889 2488
4326 1878 2578
4447 1867 2593
4568 1856 2608
4601 1845 2563
4689 1834 2623
4722 1823 2638
4843 1812 2668
4964 1801 2683
5019 1790 2698
5415 1779 2653
5536 1768 2728
5657 1757 2743
5778 1746 2758
5811 1735 2713
5899 1724 2773
5932 1713 2788
6108 1702 2818
6229 1691 2833
6504 1680 2803
6625 1669 2863
1214 2622 0
1335 2612 2893
1456 2602 2905
1577 2592 2920
1610 2582 0
1698 2572 2935
1731 2562 2950
1852 2552 2977
1973 2542 2992
2028 2532 3007
2149 2522 3022
2303 2512 2962
2424 2502 3052
2545 2492 3067
2666 2482 3082
2787 2472 3097
2820 2462 3037
2941 2452 3127
3117 2442 3142
3238 2431 3157
